"CourseID","Course Name","Course Duration (in minutes)","Created Date","Primary Domain","Domain","Competency","Provider","Audience"
"91206","1: Develop Self & Lead Others","60","07/10/2019 08:59:06","Digitalisation","Digitalisation,Leadership","Digital Strategy and Transformation,Building Future Readiness 2,Unit Culture - Stewards 12","LEARN x CSC  ","Middle Management, Senior Management"
"88591","BDLQ2: Basic Digital Literacy Quiz","15","23/09/2019 16:57:04","Digitalisation","Digitalisation","Basic Digital Literacy","LEARN x CSC  ","Support Officer, Senior Officer, Manager, Middle Management, Senior Management"
"8062","3b. Understanding My Leadership Style","6","17/01/2019 18:59:17","Leadership","Leadership","Use of Self 1,Use of self 2","LEARN x CSC  ","Manager, Middle Management"
"8057","1d. Start With the 'Why' - The Purpose of the Journey","6","17/01/2019 18:42:10","Leadership","Leadership","Use of Self 1,Drive for Impact 1","LEARN x CSC  ","Manager, Middle Management"
"8055","2a. Connecting With My Team","3","17/01/2019 18:41:09","Leadership","Leadership","Enabling Staff Development 1,Steering Team Performance 4","LEARN x CSC  ","Manager, Middle Management"
"8053","2b. Aligning Expectations With My Supervisor","3","17/01/2019 18:40:19","Leadership","Leadership","Planning & Alignment 1, Steering Team Performance 1,Planning & Alignment 2","LEARN x CSC  ","Manager, Middle Management"
"8051","2c. Understanding My Corporate Responsibilities","3","17/01/2019 18:39:16","Leadership","Leadership","Planning & Alignment 4","LEARN x CSC  ","Manager, Middle Management"
"8049","2d. Managing My Time","4","17/01/2019 18:38:25","Leadership","Leadership","Judgement and Decision Making 1,Use of self 2","LEARN x CSC  ","Manager, Middle Management"
"8047","3a. Growing My Self-Awareness ","3","17/01/2019 18:26:01","Leadership","Leadership","Use of Self 1,Personal Mastery 2, Personal Mastery 3","LEARN x CSC  ","Manager, Middle Management"
"8045","3c. Making Time for Reflection","3","17/01/2019 18:16:38","Leadership","Leadership","Use of Self 1, Personal Mastery 3","LEARN x CSC  ","Manager, Middle Management"
"8043","4a. Conversations That Inspire and Engage","5","17/01/2019 18:12:38","Leadership","Leadership","Enabling Staff Development 2,Enabling Staff Development 1","LEARN x CSC  ","Manager, Middle Management"
"8041","4b. Sharpening My Listening Skills","7","17/01/2019 18:00:33","Leadership","Leadership","Planning & Alignment 1,Enabling Staff Development 1","LEARN x CSC  ","Manager, Middle Management"
"8039","4c. The Power of Questions","7","17/01/2019 17:39:57","Leadership","Leadership","Enabling Staff Development 2,Enabling Staff Development 1","LEARN x CSC  ","Manager, Middle Management"
"8037","1b. Making Sense of My Leadership Transition","7","17/01/2019 17:36:39","Leadership","Leadership","Use of self 2,Building Future Readiness 3","LEARN x CSC  ","Manager, Middle Management"
"8035","5a. The Value of Feedback","3","17/01/2019 17:25:45","Leadership","Leadership","Enabling Staff Development 2,Enabling Staff Development 1","LEARN x CSC  ","Manager, Middle Management"
"8032","5b. A Tool for Effective Feedback","7","17/01/2019 16:54:47","Leadership","Leadership","Enabling Staff Development 2,Enabling Staff Development 1","LEARN x CSC  ","Manager, Middle Management"
"8030","6a. The Value of Delegation ","4","17/01/2019 16:50:08","Leadership","Leadership","Enabling Staff Development 2,Enabling Staff Development 1","LEARN x CSC  ","Manager, Middle Management"
"8028","1a. I Am Now a Manager - What Does This Mean?","7","17/01/2019 16:49:38","Leadership","Leadership","Personal Mastery 3","LEARN x CSC  ","Manager, Middle Management"
